Município;Mun_Total de casos;Mun_Total de óbitos;Letalidade Mun;Cód IBGE;Latitude;Longitude;
Lins;11;3;27,27%;3527108;-21,6718;-49,7526;
Lorena;1;0;0,00%;3527207;-22,7334;-45,1197;
Louveira;2;0;0,00%;3527306;-23,0856;-46,9484;
Lucélia;3;2;66,67%;3527405;-21,7182;-51,0215;
Macatuba;1;0;0,00%;3528007;-22,5002;-48,7102;
Mairinque;1;0;0,00%;3528403;-23,5398;-47,185;
Mairiporã;15;4;26,67%;3528502;-23,3171;-46,5897;
Marília;8;1;12,50%;3529005;-22,2171;-49,9501;
Martinópolis;1;0;0,00%;3529203;-22,1462;-51,1709;
Matão;3;0;0,00%;3529302;-21,6025;-48,364;
Mauá;119;5;4,20%;3529401;-23,6677;-46,4613;
Miguelópolis;1;0;0,00%;3529708;-20,1796;-48,031;
Mineiros do Tietê;4;1;25,00%;3529807;-22,412;-48,451;
Miracatu;2;0;0,00%;3529906;-24,2766;-47,4625;
Mirandópolis;5;2;40,00%;3530102;-21,1313;-51,1035;
Mirassol;6;0;0,00%;3530300;-20,8169;-49,5206;
Mococa;2;1;50,00%;3530508;-21,4647;-47,0024;
Mogi das Cruzes;133;8;6,02%;3530607;-23,5208;-46,1854;
Mogi Guaçu;13;1;7,69%;3530706;-22,3675;-46,9428;
Mogi Mirim;2;0;0,00%;3530805;-22,4332;-46,9532;
Mongaguá;6;1;16,67%;3531100;-24,0809;-46,6265;
Monte Alto;11;1;9,09%;3531308;-21,2655;-48,4971;
Monte Mor;1;0;0,00%;3531803;-22,945;-47,3122;
Morro Agudo;1;0;0,00%;3531902;-20,7288;-48,0581;
Morungaba;4;0;0,00%;3532009;-22,8811;-46,7896;
Nazaré Paulista;2;0;0,00%;3532405;-23,1747;-46,3983;
Nhandeara;1;0;0,00%;3532603;-20,6945;-50,0436;
Nova Odessa;2;1;50,00%;3533403;-22,7832;-47,2941;
Olímpia;4;0;0,00%;3533908;-20,7366;-48,9106;
Orlândia;4;0;0,00%;3534302;-20,7169;-47,8852;
Osasco;389;42;10,80%;3534401;-23,5324;-46,7916;
Ourinhos;10;0;0,00%;3534708;-22,9797;-49,8697;
Palmital;1;0;0,00%;3535309;-22,7858;-50,218;
Pariquera-Açu;5;1;20,00%;3536208;-24,7147;-47,8742;
Paulínia;11;1;9,09%;3536505;-22,7542;-47,1488;
Paulistânia;1;0;0,00%;3536570;-22,5768;-49,4008;
Pederneiras;2;1;50,00%;3536703;-22,3511;-48,7781;
Pedra Bela;1;0;0,00%;3536802;-22,7902;-46,4455;
Penápolis;1;1;100,00%;3537305;-21,4148;-50,0769;
Peruíbe;11;0;0,00%;3537602;-24,312;-47,0012;
Piedade;5;0;0,00%;3537800;-23,7139;-47,4256;
Pilar do Sul;3;0;0,00%;3537909;-23,8077;-47,7222;
Pindamonhangaba;6;1;16,67%;3538006;-22,9246;-45,4613;
Pindorama;2;0;0,00%;3538105;-21,1853;-48,9086;
Piracaia;1;0;0,00%;3538600;-23,0525;-46,3594;
Piracicaba;36;3;8,33%;3538709;-22,7338;-47,6476;
Piraju;4;0;0,00%;3538808;-23,1981;-49,3803;
Pirajuí;1;0;0,00%;3538907;-21,999;-49,4608;
Pirassununga;2;0;0,00%;3539301;-21,996;-47,4257;
Piratininga;4;0;0,00%;3539400;-22,4142;-49,1339;
Pitangueiras;1;1;100,00%;3539509;-21,0132;-48,221;
Poá;30;3;10,00%;3539806;-23,5333;-46,3473;
Pontal;4;1;25,00%;3540200;-21,0216;-48,0423;
Populina;1;0;0,00%;3540408;-19,9453;-50,538;
Porto Feliz;5;0;0,00%;3540606;-23,2093;-47,5251;
Porto Ferreira;2;1;50,00%;3540705;-21,8498;-47,487;
Praia Grande;78;8;10,26%;3541000;-24,0084;-46,4121;
Pratânia;2;0;0,00%;3541059;-22,8112;-48,6636;
Presidente Prudente;13;2;15,38%;3541406;-22,1207;-51,3925;
Presidente Venceslau;10;6;60,00%;3541505;-21,8732;-51,8447;
Promissão;3;0;0,00%;3541604;-21,5356;-49,8599;
Quatá;2;0;0,00%;3541703;-22,2456;-50,6966;
Quintana;1;0;0,00%;3542008;-22,0692;-50,307;
Rancharia;3;0;0,00%;3542206;-22,2269;-50,893;
Registro;5;1;20,00%;3542602;-24,4979;-47,8449;
Ribeirão Pires;38;2;5,26%;3543303;-23,7067;-46,4058;
Ribeirão Preto;92;5;5,43%;3543402;-21,1699;-47,8099;
Rincão;1;1;100,00%;3543709;-21,5894;-48,0728;
Rinópolis;1;0;0,00%;3543808;-21,7284;-50,7239;
Rio Claro;14;5;35,71%;3543907;-22,3984;-47,5546;
Rio Grande da Serra;11;0;0,00%;3544103;-23,7437;-46,3971;
Salesópolis;1;1;100,00%;3545001;-23,5288;-45,8465;
Salto;7;0;0,00%;3545209;-23,1996;-47,2931;
Salto de Pirapora;8;0;0,00%;3545308;-23,6474;-47,5743;
Santa Bárbara d'Oeste;2;1;50,00%;3545803;-22,7553;-47,4143;
Santa Branca;2;1;50,00%;3546009;-23,3933;-45,8875;
Santa Cruz do Rio Pardo;6;0;0,00%;3546405;-22,8988;-49,6354;
Santa Gertrudes;1;0;0,00%;3546702;-22,4572;-47,5272;
Santa Isabel;6;3;50,00%;3546801;-23,3172;-46,2237;
Santa Lúcia;3;0;0,00%;3546900;-21,685;-48,0885;
Santa Rita do Passa Quatro;1;1;100,00%;3547502;-21,7083;-47,478;
Santana de Parnaíba;68;1;1,47%;3547304;-23,4439;-46,9178;
Santo André;296;17;5,74%;3547809;-23,6737;-46,5432;
Santo Antônio da Alegria;1;1;100,00%;3547908;-21,0864;-47,1464;
Santos;367;19;5,18%;3548500;-23,9535;-46,335;
São Bernardo do Campo;421;29;6,89%;3548708;-23,6914;-46,5646;
São Caetano do Sul;127;9;7,09%;3548807;-23,6229;-46,5548;
São Carlos;10;2;20,00%;3548906;-22,0174;-47,886;
São João da Boa Vista;7;0;0,00%;3549102;-21,9707;-46,7944;
São Joaquim da Barra;2;0;0,00%;3549409;-20,5812;-47,8593;
São José do Rio Pardo;2;0;0,00%;3549706;-21,5953;-46,8873;
São José do Rio Preto;71;8;11,27%;3549805;-20,8113;-49,3758;
São José dos Campos;158;5;3,16%;3549904;-23,1896;-45,8841;
São Lourenço da Serra;2;1;50,00%;3549953;-23,8491;-46,9432;
São Manuel;5;1;20,00%;3550100;-22,7321;-48,5723;
São Miguel Arcanjo;3;0;0,00%;3550209;-23,8782;-47,9935;
São Paulo;11800;1010;8,56%;3550308;-23,5329;-46,6395;
São Pedro;1;0;0,00%;3550407;-22,5483;-47,9096;
São Roque;14;1;7,14%;3550605;-23,5226;-47,1357;
São Sebastião;14;2;14,29%;3550704;-23,7951;-45,4143;
São Sebastião da Grama;1;0;0,00%;3550803;-21,7041;-46,8208;
São Vicente;85;1;1,18%;3551009;-23,9574;-46,3883;
Serra Negra;1;0;0,00%;3551603;-22,6139;-46,7033;
Serrana;2;2;100,00%;3551504;-21,2043;-47,5952;
Sertãozinho;9;1;11,11%;3551702;-21,1316;-47,9875;
Sorocaba;57;12;21,05%;3552205;-23,4969;-47,4451;
Sumaré;9;0;0,00%;3552403;-22,8204;-47,2728;
Suzano;86;7;8,14%;3552502;-23,5448;-46,3112;
Taboão da Serra;142;12;8,45%;3552809;-23,6019;-46,7526;
Taiaçu;2;0;0,00%;3553104;-21,1431;-48,5112;
Tanabi;1;0;0,00%;3553401;-20,6228;-49,6563;
Taquaritinga;1;0;0,00%;3553708;-21,4049;-48,5103;
Taquarituba;1;0;0,00%;3553807;-23,5307;-49,241;
Tarabai;2;0;0,00%;3553906;-22,3016;-51,5621;
Tatuí;8;0;0,00%;3554003;-23,3487;-47,8461;
Taubaté;8;0;0,00%;3554102;-23,0104;-45,5593;
Terra Roxa;1;0;0,00%;3554409;-20,787;-48,3314;
Tupã;2;0;0,00%;3555000;-21,9335;-50,5191;
Ubatuba;4;0;0,00%;3555406;-23,4332;-45,0834;
Valinhos;17;3;17,65%;3556206;-22,9698;-46,9974;
Vargem Grande Paulista;12;3;25,00%;3556453;-23,5993;-47,022;
Várzea Paulista;8;2;25,00%;3556503;-23,2136;-46,8234;
Vinhedo;19;1;5,26%;3556701;-23,0302;-46,9833;
Vista Alegre do Alto;1;0;0,00%;3556909;-21,1692;-48,6284;
Votorantim;8;2;25,00%;3557006;-23,5446;-47,4388;
Votuporanga;9;0;0,00%;3557105;-20,4237;-49,9781;
Ignorado;7;0;0,00%;;;;
Outros estados;14;0;0,00%;;;;
Outros países;42;0;0,00%;;;;
